PAIS,MARCAS,PAIS_ORIGEN,MODELO,PRECIO,CAPACIDAD,COLOR,VENDIDO
China,Nissan,Sweden,2010,Yuan Renminbi,QX,Aquamarine,1
China,Suzuki,Brazil,2000,Yuan Renminbi,M,Khaki,1
China,Tesla,Sweden,2009,Yuan Renminbi,Veyron,Maroon,1
China,General Motors,Greece,2003,Yuan Renminbi,Montero,Aquamarine,1
China,Suzuki,Sweden,1994,Yuan Renminbi,Crown Victoria,Orange,1
United States,Tesla,Brazil,2013,Dollar,GS,Indigo,1
China,Suzuki,Belarus,2005,Yuan Renminbi,X-Type,Red,1
China,Nissan,Argentina,2008,Yuan Renminbi,Tacoma,Red,1
China,Chirey,Argentina,1993,Yuan Renminbi,Aerostar,Red,1
China,Otros,Poland,2000,Yuan Renminbi,Continental,Indigo,1
China,Build Your Dream,United States,2011,Yuan Renminbi,Silverado 2500,Green,1
China,Otros,Czech Republic,2007,Yuan Renminbi,Range Rover,Purple,1
China,Build Your Dream,United States,2008,Yuan Renminbi,Daewoo Lacetti,Blue,1
China,Kia,Russia,2005,Yuan Renminbi,Town & Country,Indigo,1
China,Kia,Nigeria,2008,Yuan Renminbi,RL,Red,1
China,Suzuki,Belarus,2011,Yuan Renminbi,XJ,Purple,1
China,Build Your Dream,Philippines,2001,Yuan Renminbi,Millenia,Red,1
China,Nissan,China,1998,Yuan Renminbi,LX,Violet,1
China,Tesla,Portugal,2001,Yuan Renminbi,530,Blue,1
China,Suzuki,Brazil,1993,Yuan Renminbi,164,Turquoise,1
China,Chirey,Indonesia,1999,Yuan Renminbi,MX-5,Maroon,1
China,Tesla,Indonesia,1985,Yuan Renminbi,Topaz,Aquamarine,1
China,Chirey,Norway,2006,Yuan Renminbi,Thunderbird,Turquoise,1
China,Kia,Philippines,1969,Yuan Renminbi,GTO,Pink,1
China,Chirey,Greece,2007,Yuan Renminbi,PT Cruiser,Crimson,1
China,Nissan,Bosnia and Herzegovina,1984,Yuan Renminbi,626,Turquoise,1
China,Otros,Honduras,2010,Yuan Renminbi,S4,Maroon,1
China,Chirey,Kazakhstan,1984,Yuan Renminbi,Celica,Teal,1
